File,Group,RMS_x,RMS_y,偏心比例,側面主頻率(Hz),側面等效剛性(N/m),俯瞰A_PC1頻率(Hz),俯瞰A_PC2頻率(Hz),俯瞰B_PC1頻率(Hz),俯瞰B_PC2頻率(Hz),RMS加速度
E:\EarthScienceFair_Data\5\G1\5-G1-1.xlsx,5-G1,0.05461375600087664,0.002894018915179183,0.09762745585573745,2.229087391012103,1390.216657818353,2.350222598177846,2.4164068351288184,2.6206226406630324,2.6221298509122892,0.9179429004853547
E:\EarthScienceFair_Data\5\G1\5-G1-2.xlsx,5-G1,0.03710452667461368,0.0015663072767812612,0.03437313535631342,2.2406267736703294,1404.6474650013042,2.1657866314576135,2.1641874626947346,2.463370264923286,2.4455294646378563,1.128584162250825
E:\EarthScienceFair_Data\5\G1\5-G1-3.xlsx,5-G1,0.03756516005074467,0.0017445946220348179,0.03694315345439016,2.262276460756238,1431.9229533694613,2.154003233734113,2.1216884248273673,2.459206961226073,2.4742562316744703,0.9902002468227775
E:\EarthScienceFair_Data\5\G2\5-G2-1.xlsx,5-G2,0.028261394104480014,0.0010232187922947992,0.03181934161809089,2.149800814382837,1208.053950920441,2.1633413346102106,2.1993435225195883,2.519753103484161,2.474650050176674,1.103776274337986
E:\EarthScienceFair_Data\5\G2\5-G2-2.xlsx,5-G2,0.028360438443467424,0.0010860552613535148,0.03272456557251867,2.151802139310955,1210.3042373982305,2.2207859845565743,2.2912918606993746,2.4475708981398867,2.4040758376522273,1.253340907377209
E:\EarthScienceFair_Data\5\G2\5-G2-3.xlsx,5-G2,0.029053547716481845,0.0010352067372214186,0.028998024616010382,2.149063701284997,1207.2256697850216,2.1402525118615365,2.1805860143094757,2.3524092209648253,2.3900692845445577,1.2006818955747058
E:\EarthScienceFair_Data\5\G3\5-G3-1.xlsx,5-G3,0.02478541660490216,0.0007819547950027331,0.030217934447402596,2.1558792110332514,1131.4261001229352,2.2774690747552184,2.3384429076795983,2.5428744592397012,2.5022899259002274,1.132071672258491
E:\EarthScienceFair_Data\5\G3\5-G3-2.xlsx,5-G3,0.024299406473807583,0.0008698830149182312,0.03158115945445976,2.143584412075385,1118.5580408084943,2.2489148980312406,2.294549324754342,2.3710282310483386,2.387981536387711,1.2423509102568426
E:\EarthScienceFair_Data\5\G3\5-G3-3.xlsx,5-G3,0.024442293190983885,0.0010384108023420303,0.038682948278237796,2.175645328261975,1152.2681048238421,2.255785097606909,2.3228921947206462,2.4837534326015,2.497000148908949,1.1028354166189067
E:\EarthScienceFair_Data\5\G4\5-G4-1.xlsx,5-G4,0.026403969559934615,0.0009928928894041501,0.03392569207094123,2.1333331371567925,1111.6221999616125,2.171679752433972,2.1971678710489244,2.585995143485838,2.561762868699791,1.0348499351606235
E:\EarthScienceFair_Data\5\G4\5-G4-2.xlsx,5-G4,0.02703141930892343,0.0012461491114401234,0.039907795638263965,2.184721640119557,1165.8215359844812,2.2866252284235506,2.3562963588781,2.6200701996310283,2.6066835795384993,2.0808300468232535
E:\EarthScienceFair_Data\5\G4\5-G4-3.xlsx,5-G4,0.026827031137540647,0.0010828158130621074,0.03310809531116196,2.107943146788625,1085.3195834581109,2.285049657544625,2.352103451637739,2.5294963519036067,2.50172917414825,1.0998271066113556
